id,title_pt,date_pt,date_precision,primary_type,credit_pt,rights_status,site_visible,portal_enabled,museum_enabled,totem_eligibility,panel_eligibility,qr_target_path,qr_status,original_asset,print_source
MM202601,"Um aspecto do cortejo da Festa da Pinha, em Estoi",1909-05-02,day,festa,Arquivo Nacional da Torre do Tombo — Foto Artística Samorrinha. Autor: José Viegas Samorrinha. Código de referência: PT/TT/SAM/A/001/000016.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202601,pending-public-base-url,public/media/museum/originals/MM202601.jpg,public/media/museum/originals/MM202601.jpg
MM202602,"Memórias de juventude — Estoi, década de 1950",ca. 1950s,decade,juventude,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202602,pending-public-base-url,public/media/museum/originals/MM202602.jpg,public/media/museum/originals/MM202602.jpg
MM202603,Achados romanos de Milreu,1966-1967,range,escavações,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202603,pending-public-base-url,public/media/museum/originals/MM202603.jpg,public/media/museum/originals/MM202603.jpg
MM202604,Figura popular de Estoi — Ti’ Jacinto,Data não determinada,unknown,figura comunitária,Fotografia cedida por Luís Barriga; descrição divulgada na página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202604,pending-public-base-url,public/media/museum/originals/MM202604.jpg,public/media/museum/originals/MM202604.jpg
MM202605,Visita de jornalistas ingleses a Milreu,1913,year,visita,"Ilustração Portuguesa, 2.ª série, n.º 368, 10 de março de 1913; Hemeroteca Digital; referência divulgada pela página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202605,pending-public-base-url,public/media/museum/originals/MM202605.jpg,public/media/museum/originals/MM202605.jpg
MM202606,Escavações arqueológicas nas Ruínas de Milreu,1897,year,escavações,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202606,pending-public-base-url,public/media/museum/originals/MM202606.jpg,public/media/museum/originals/MM202606.jpg
MM202607,Bustos romanos de Milreu,1966,year,escavações,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202607,pending-public-base-url,public/media/museum/originals/MM202607.jpg,public/media/museum/originals/MM202607.jpg
MM202608,"Edifício de cultos, potencialmente em 1910",potencialmente 1910,year,memória comunitária,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202608,pending-public-base-url,public/media/museum/originals/MM202608.jpg,public/media/museum/originals/MM202608.jpg
MM202609,Pessoas em frente ao edifício de cultos,Ano desconhecido,unknown,memória comunitária,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202609,pending-public-base-url,public/media/museum/originals/MM202609.jpg,public/media/museum/originals/MM202609.jpg
MM202610,Poesia nas ruínas,Data não determinada,unknown,literatura,Coleção de José António Paula Brito.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202610,pending-public-base-url,public/media/museum/originals/MM202610.jpg,public/media/museum/originals/MM202610.jpg
MM202611,Natalina Crispim na Casa Rural de Milreu,Data não determinada,unknown,habitação,Arquivo digital associado à memória de Natalina Crispim.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202611,pending-public-base-url,public/media/museum/originals/MM202611.jpg,public/media/museum/originals/MM202611.jpg
MM202612,Rosário Félix desenha as memórias de Natalina Crispim,Possivelmente próxima da produção do documentário Memórias Vivas da Casa Rural,unknown,história oral,Partilha Alternativa; página de Facebook da Partilha Alternativa.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202612,pending-public-base-url,public/media/museum/originals/MM202612.jpg,public/media/museum/originals/MM202612.jpg
MM202613,Theodor Hauschild e equipa de escavadores em Milreu,"ca. 1981, segundo hipótese de Cristina Farias",year,escavações,Coleção de Maria de Lurdes Mendes Martins; fotografia providenciada por Celeste Pimenta e Branca Pimenta.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202613,pending-public-base-url,public/media/museum/originals/MM202613.jpg,public/media/museum/originals/MM202613.jpg
MM202614,Equipa de escavadores em Milreu sobre os mosaicos,"Provavelmente 1981, segundo testemunho de Cristina Farias",year,escavações,Fotografia providenciada por Celeste Pimenta e Branca Pimenta; associada à coleção de Maria de Lurdes Mendes Martins.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202614,pending-public-base-url,public/media/museum/originals/MM202614.jpg,public/media/museum/originals/MM202614.jpg
MM202615,Os escavadores ao almoço,ca. anos 1970-1980,range,trabalho e convívio,Coleção de Maria de Lurdes Mendes Martins; fotografia providenciada por Celeste Pimenta e Branca Pimenta.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202615,pending-public-base-url,public/media/museum/originals/MM202615.jpg,public/media/museum/originals/MM202615.jpg
MM202616,Grupo de trabalhadores com Theodor Hauschild,Revelação em dezembro de 1984; evento fotografado possivelmente anterior,unknown,escavações,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202616,pending-public-base-url,public/media/museum/originals/MM202616.jpg,public/media/museum/originals/MM202616.jpg
MM202617,Versão restaurada com inteligência artificial,Imagem derivada contemporânea de fotografia histórica,unknown,imagem derivada,Imagem tratada com inteligência artificial a partir de fotografia histórica das campanhas de Milreu.,authorized-for-project-publication,false,false,false,blocked,blocked,/museu/memorias/MM202617,pending-public-base-url,public/media/museum/originals/MM202617.jpg,public/media/museum/originals/MM202617.jpg
MM202618,Trabalhando nas ruínas,ca. anos 1970-1980,range,trabalho arqueológico,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202618,pending-public-base-url,public/media/museum/originals/MM202618.jpg,public/media/museum/originals/MM202618.jpg
MM202619,Tomando notas dos achados,Provavelmente entre janeiro e junho de 1987,range,trabalho arqueológico,Coleção de Maria de Lurdes Mendes Martins; referência da página Partilha Alternativa.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202619,pending-public-base-url,public/media/museum/originals/MM202619.jpg,public/media/museum/originals/MM202619.jpg
MM202620,No frigidarium,Revelação em junho de 1987; evento possivelmente anterior ou próximo,unknown,trabalho arqueológico,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202620,pending-public-base-url,public/media/museum/originals/MM202620.jpg,public/media/museum/originals/MM202620.jpg
MM202621,Lavando cacos,Revelação em dezembro de 1984; evento possivelmente anterior,unknown,trabalho arqueológico,Coleção de Maria de Lurdes Mendes Martins; referência da página Partilha Alternativa.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202621,pending-public-base-url,public/media/museum/originals/MM202621.jpg,public/media/museum/originals/MM202621.jpg
MM202622,Trabalhadoras das ruínas a cozinhar,Revelação em dezembro de 1984; evento possivelmente anterior,unknown,trabalho e quotidiano,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202622,pending-public-base-url,public/media/museum/originals/MM202622.jpg,public/media/museum/originals/MM202622.jpg
MM202623,Trabalhadores das ruínas,ca. anos 1970-1980,range,trabalho arqueológico,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202623,pending-public-base-url,public/media/museum/originals/MM202623.jpg,public/media/museum/originals/MM202623.jpg
MM202624,Trabalhadoras nas ruínas com carriola,ca. anos 1970-1980,range,trabalho arqueológico,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202624,pending-public-base-url,public/media/museum/originals/MM202624.jpg,public/media/museum/originals/MM202624.jpg
MM202625,Trabalhadores junto ao edifício de cultos,ca. anos 1970-1980,range,trabalho arqueológico,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202625,pending-public-base-url,public/media/museum/originals/MM202625.jpg,public/media/museum/originals/MM202625.jpg
MM202626,Trabalhadores nas ruínas,ca. anos 1970-1980; revelação possivelmente mais recente,range,trabalho arqueológico,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202626,pending-public-base-url,public/media/museum/originals/MM202626.jpg,public/media/museum/originals/MM202626.jpg
MM202627,Trabalhadores em momento de descanso e convívio,Revelação em dezembro de 1984; evento possivelmente anterior,unknown,trabalho e convívio,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202627,pending-public-base-url,public/media/museum/originals/MM202627.jpg,public/media/museum/originals/MM202627.jpg
MM202628,Trabalhadores junto ao professor Theodor Hauschild,Revelação em dezembro de 1984; evento possivelmente anterior,unknown,trabalho e convívio,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202628,pending-public-base-url,public/media/museum/originals/MM202628.jpg,public/media/museum/originals/MM202628.jpg
MM202629,"Trabalhadores junto ao professor Theodor Hauschild, blusa listrada",Revelação em dezembro de 1984; evento possivelmente anterior,unknown,trabalho e convívio,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202629,pending-public-base-url,public/media/museum/originals/MM202629.jpg,public/media/museum/originals/MM202629.jpg
MM202630,Trabalhadores nas escadas internas da Casa Rural,Revelação em dezembro de 1984; evento possivelmente anterior,unknown,trabalho e quotidiano,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202630,pending-public-base-url,public/media/museum/originals/MM202630.jpg,public/media/museum/originals/MM202630.jpg
MM202631,Cortejo da Festa da Pinha em frente às Ruínas de Milreu,2024,year,festa,Publicação em redes sociais por Património Cultural I.P.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202631,pending-public-base-url,public/media/museum/originals/MM202631.jpg,public/media/museum/originals/MM202631.jpg
